brewery_id,brewery_name,lat,lng,address
25896,Birrificio F.lli Trami,45.4745083,10.1306587,"Via Trento, 140, 25020 Capriano del Colle BS, Italy"
16517,McCann's Food & Brew,-41.0527532,145.9075762,"1 Cattley St, Burnie TAS 7320, Australia"
2068,Gentle Ben's Brewing Company,32.2319967,-110.9581772,"865 E University Blvd, Tucson, AZ 85719, USA"
2850,Stadtbrauerei Spalt,49.17434,10.92523,"Brauereigasse 3, 91174 Spalt, Germany"
466,South African Breweries plc,,,
20638,DUFF Sales & Marketing E.K.,50.9486958,10.7061094,"Schwabhäuser Str. 18, 99867 Gotha, Germany"
7104,H.B. Clark & Co (Successors) Limited,53.6812052,-1.5060889,"Westgate Brewery, 136 Westgate, Wakefield WF2 9SW, UK"
13905,Brasserie Dunham,45.13046500000001,-72.800523,"3809 Rue Principale, Dunham, QC J0E 1M0, Canada"
5514,Browar Staropolski,51.59834799999999,18.935353,"Świętego Maksymiliana Marii Kolbego 2, 98-311 Zduńska Wola, Poland"
17212,Ufford Ales Ltd.,,,
14649,Pivara MB,,,
5892,Walnut Brewery,40.0168706,-105.2804358,"1123 Walnut St, Boulder, CO 80302, USA"
1497,Jupiter,26.9342246,-80.0942087,"Jupiter, FL, USA"
1254,Browerij Nacional Balashi,12.4810023,-69.9816341,"Balashi 62, Oranjestad, Aruba"
18012,Seven Brides Brewing,30.261532,-81.55375,"9735 Gate Pkwy N, Jacksonville, FL 32246, USA"
3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",,,
16321,SonnenbrÃ¤u AG,,,
3403,"Cairngorm Brewery Company, The",57.2009284,-3.8201952,"Dalfaber Dr, Aviemore PH22 1ST, UK"
9370,Consorcio Cervecero De Baja California ( La Taberna TJ ),32.514582,-117.0315513,"Blvd. Fundadores 2951, Juárez, 22150 Tijuana, B.C., Mexico"
2810,Streets Of New York / Uptown Brewery,40.7593283,-73.990039,"321 W 44th St, New York, NY 10036, USA"
289,Saint Ides Brewing Company,,,
885,Summit Station Restaurant & Brewery,,,
10324,Scarampola,44.370076,8.20127,"Località Monastero, 9, 17017 Millesimo SV, Italy"
17783,1702 / The Address Brewing Co.,32.2358135,-110.9465872,"1702 E Speedway Blvd, Tucson, AZ 85719, USA"
5313,Harar Beer Factory,,,
24477,Solvang Brewing Company,34.5962952,-120.1436334,"1547 Mission Dr, Solvang, CA 93463, USA"
3351,Coors Brewers Ltd,43.6747051,-79.5885065,"33 Carlingview Dr, Etobicoke, ON M9W 5E4, Canada"
2412,Hereford & Hops Restaurant & Brewpub,45.7460254,-87.0564603,"624 Ludington St, Escanaba, MI 49829, USA"
24486,Mornington Peninsula Brewery,-38.232544,145.056865,"72 Watt Rd, Mornington VIC 3931, Australia"
5970,Staffelberg BrÃ¤u Fam. Geldner-Wehritz,50.09277780000001,11.0236111,"Staffelberg, 96231 Bad Staffelstein, Germany"
3408,Valhalla Brewery (Sheltand Refreshments Ltd),60.23120950000001,-1.3041881,"31 Kalliness, Weisdale, Shetland ZE2 9LR, UK"
1784,Outer Banks Brewing Station,36.0095191,-75.65940069999999,"600 S Croatan Hwy, Kill Devil Hills, NC 27948, USA"
22035,The Big Cheese Pizza Co.,,,
2312,Tenaya Creek Brewery,36.176621,-115.1534972,"831 W Bonanza Rd, Las Vegas, NV 89106, USA"
806,W.H. Brakspear & Sons plc,,,
3991,St. Peters Brewery (Australia),-33.9085977,151.1803414,"15 May St, St Peters NSW 2044, Australia"
21333,Nova Paka Brewery,50.4877027,15.5247293,"Pivovarská 400, 509 01 Nová Paka, Czechia"
20810,Vilkmerg&#279;s Alus,55.245265,24.7760749,"Ukmergė, Lithuania"
10217,Cervejaria Devassa,,,
6764,KÃ¶nigsegger WalderbrÃ¤u AG,,,
18086,The Run of the Mill Public House & Brewery,43.4937916,-70.4484338,"100 Main St, Saco, ME 04072, USA"
1930,Alcatraz Brewing Co.,37.8488142,-122.2721496,"1763 Alcatraz Ave, Berkeley, CA 94703, USA"
10753,Islay Ale Co. Ltd.,55.7845598,-6.2511858,"4 Islay House Square, Bridgend, Isle of Islay PA44 7NZ, UK"
14492,Almond '22,42.428412,14.0253531,"h, Contrada Remartello, 47, 65014 Remartello PE, Italy"
4992,Brouwerij Slaapmutske,,,
7397,KÃ¶lner Verbund Brauereien GmbH & Co. KG,,,
3365,Keltek Brewing Company Ltd,50.246431,-5.215852,"Candela House, Cardrew Way, Mount Ambrose, Redruth TR15 1SS, UK"
15627,Landauer Brauhof,49.19901,8.11965,"Industriestraße 10, 76829 Landau in der Pfalz, Germany"
24676,Borodino ZAO,,,
4629,Quarryman Taverne & Brewery,,,
