Status,Beer_Beerid
Rotating/Seasonal,60955
Rotating/Seasonal,73331
Year-round,45701
Retired (no longer brewed),22968
Year-round,50586
Rotating/Seasonal,76985
Retired (no longer brewed),42627
Retired (no longer brewed),42830
Retired (no longer brewed),22966
Retired (no longer brewed),41768
Year-round,46276
Retired (no longer brewed),50698
Retired (no longer brewed),31948
Rotating/Seasonal,55030
Rotating/Seasonal,51874
Retired (no longer brewed),36505
Retired (no longer brewed),39550
Rotating/Seasonal,55353
Year-round,71766
Year-round,56733
Year-round,46821
Year-round,19260
Retired (no longer brewed),50421
Retired (no longer brewed),49941
Retired (no longer brewed),66769
Rotating/Seasonal,75847
Retired (no longer brewed),15654
Retired (no longer brewed),15653
Retired (no longer brewed),15655
Retired (no longer brewed),15656
Year-round,63736
Year-round,63735
Year-round,63738
Retired (no longer brewed),11895
Retired (no longer brewed),25952
Retired (no longer brewed),14395
Year-round,72640
Retired (no longer brewed),56375
Retired (no longer brewed),52859
Year-round,35707
Retired (no longer brewed),23660
Retired (no longer brewed),74723
Year-round,70798
Retired (no longer brewed),43146
Retired (no longer brewed),13261
Retired (no longer brewed),26446
Retired (no longer brewed),57853
Retired (no longer brewed),66040
Retired (no longer brewed),75728
Retired (no longer brewed),44686
Retired (no longer brewed),44019
Year-round,77207
Retired (no longer brewed),52333
Retired (no longer brewed),55610
Retired (no longer brewed),28423
Retired (no longer brewed),50524
Retired (no longer brewed),24983
Retired (no longer brewed),54951
Retired (no longer brewed),55609
Retired (no longer brewed),36348
Retired (no longer brewed),17501
Retired (no longer brewed),76296
Year-round,47646
Rotating/Seasonal,65103
Year-round,49954
Year-round,76417
Year-round,38754
Rotating/Seasonal,73635
Rotating/Seasonal,60875
Retired (no longer brewed),63558
Rotating/Seasonal,33445
Year-round,40493
Retired (no longer brewed),75155
Retired (no longer brewed),27704
Retired (no longer brewed),40672
Retired (no longer brewed),32625
Retired (no longer brewed),27703
Retired (no longer brewed),17566
Retired (no longer brewed),11641
Retired (no longer brewed),11664
Retired (no longer brewed),9511
