Status,Beer_Beerid
Retired (no longer brewed),18606
Retired (no longer brewed),42500
Retired (no longer brewed),26780
Retired (no longer brewed),26681
Retired (no longer brewed),26680
Retired (no longer brewed),38658
Year-round,38649
Year-round,38648
Year-round,38647
Retired (no longer brewed),66501
Rotating/Seasonal,65158
Retired (no longer brewed),38644
Retired (no longer brewed),19299
Retired (no longer brewed),19295
Retired (no longer brewed),19300
Retired (no longer brewed),76339
Retired (no longer brewed),39622
Retired (no longer brewed),13318
Retired (no longer brewed),59907
Retired (no longer brewed),29642
Rotating/Seasonal,60652
Retired (no longer brewed),8055
Retired (no longer brewed),37190
Retired (no longer brewed),13317
Retired (no longer brewed),29652
Rotating/Seasonal,46092
Retired (no longer brewed),37191
Year-round,18053
Year-round,54878
Year-round,68686
Retired (no longer brewed),27957
Retired (no longer brewed),42004
Rotating/Seasonal,73695
Retired (no longer brewed),40544
Retired (no longer brewed),45503
Retired (no longer brewed),46759
Retired (no longer brewed),47724
Retired (no longer brewed),47737
Rotating/Seasonal,75734
Retired (no longer brewed),45926
Retired (no longer brewed),40949
Retired (no longer brewed),30653
Retired (no longer brewed),28783
Retired (no longer brewed),15711
Rotating/Seasonal,69875
Retired (no longer brewed),15632
Retired (no longer brewed),15501
Year-round,12278
Year-round,58055
Year-round,21102
Retired (no longer brewed),48819
Retired (no longer brewed),71662
Year-round,59500
Year-round,58747
Retired (no longer brewed),71585
Rotating/Seasonal,46715
Rotating/Seasonal,64667
Retired (no longer brewed),50582
Rotating/Seasonal,46714
Retired (no longer brewed),56639
Retired (no longer brewed),18496
Year-round,70176
Retired (no longer brewed),8423
Retired (no longer brewed),24423
Retired (no longer brewed),18469
Retired (no longer brewed),66817
Retired (no longer brewed),35408
Year-round,70174
Rotating/Seasonal,72645
Retired (no longer brewed),15948
Year-round,75070
Year-round,75071
Year-round,62515
Year-round,61628
Year-round,76788
Rotating/Seasonal,48635
Retired (no longer brewed),70145
Retired (no longer brewed),37310
Retired (no longer brewed),76966
Retired (no longer brewed),75962
Year-round,62525
Year-round,76067
Rotating/Seasonal,77171
Rotating/Seasonal,61206
Retired (no longer brewed),30329
Rotating/Seasonal,68831
Year-round,73891
Retired (no longer brewed),60876
Retired (no longer brewed),11838
Year-round,42057
Year-round,72061
Year-round,70327
Retired (no longer brewed),70370
Retired (no longer brewed),33070
Year-round,75889
Year-round,70172
Retired (no longer brewed),63119
Retired (no longer brewed),50804
Retired (no longer brewed),73967
Retired (no longer brewed),75159
Rotating/Seasonal,68091
Rotating/Seasonal,46517
Retired (no longer brewed),16377
Rotating/Seasonal,74014
Rotating/Seasonal,71754
Retired (no longer brewed),25671
Retired (no longer brewed),29913
Year-round,58459
Rotating/Seasonal,14758
Retired (no longer brewed),30946
Retired (no longer brewed),75467
Rotating/Seasonal,33256
Retired (no longer brewed),50937
Retired (no longer brewed),31392
Retired (no longer brewed),5099
Retired (no longer brewed),53919
Retired (no longer brewed),49791
Rotating/Seasonal,35184
Rotating/Seasonal,63299
Retired (no longer brewed),59401
Rotating/Seasonal,72644
Rotating/Seasonal,51078
Retired (no longer brewed),57483
Year-round,74704
Retired (no longer brewed),76419
Retired (no longer brewed),74983
Retired (no longer brewed),73226
Retired (no longer brewed),73968
Retired (no longer brewed),73225
Retired (no longer brewed),73963
Retired (no longer brewed),38086
Retired (no longer brewed),67095
Rotating/Seasonal,25536
Retired (no longer brewed),14582
Year-round,38609
Year-round,75440
Year-round,75441
Retired (no longer brewed),15191
Retired (no longer brewed),15200
Retired (no longer brewed),21377
Retired (no longer brewed),19597
Retired (no longer brewed),23998
Retired (no longer brewed),30904
Retired (no longer brewed),46372
Retired (no longer brewed),16738
Retired (no longer brewed),32382
Retired (no longer brewed),17977
Rotating/Seasonal,67202
Retired (no longer brewed),21123
Retired (no longer brewed),10269
Retired (no longer brewed),20269
Retired (no longer brewed),23999
Retired (no longer brewed),23701
Year-round,67181
Rotating/Seasonal,72237
Rotating/Seasonal,62127
Retired (no longer brewed),66892
Rotating/Seasonal,69479
Retired (no longer brewed),73206
Retired (no longer brewed),44937
Year-round,60484
Year-round,68037
Retired (no longer brewed),73396
Retired (no longer brewed),61447
Retired (no longer brewed),65149
Retired (no longer brewed),75765
Retired (no longer brewed),70392
Retired (no longer brewed),71717
Rotating/Seasonal,45529
Retired (no longer brewed),60879
Retired (no longer brewed),64144
Retired (no longer brewed),74684
Year-round,76871
Rotating/Seasonal,70555
Retired (no longer brewed),75869
Year-round,55796
Retired (no longer brewed),26943
Retired (no longer brewed),54382
Year-round,54659
Year-round,68551
Rotating/Seasonal,63382
Rotating/Seasonal,63374
Retired (no longer brewed),46602
Retired (no longer brewed),63375
Year-round,70888
Retired (no longer brewed),58085
Year-round,73641
Retired (no longer brewed),60010
Rotating/Seasonal,39738
